Var1,Var2,Var3,Var4,Var5,Var6,Var7,Var8,Var9,Var10,Var11,Var12,Var13,Var14,Var15,Var16,Var17,Var18,Var19,Var20,Var21,Var22,Var23_1,Var23_2,Var24,Var25,Var26,Var27,Var28_1,Var28_2,Var29_1,Var29_2,Var30,Var31,Var32,Var33,Var34,Var35,Var36,Var37,Var38,Var39,Var40,Var41,Var42,yfitC,nam
0.0377777777777778,0.165555555555556,0.237777777777778,0.597777777777778,0.87507678525783,0.175953571573678,0.814151066551787,0.00555555555555556,0,0.162222222222222,0.832222222222222,359,541,0,0,0,0.0144444444444444,0.631111111111111,0.354444444444444,64,0.991610247596224,0.307889636410842,1.84375,164.53125,26.169022094786,3.38270590936712,-89.9933525410149,51.109,2.13888888888889,6.38461538461539,0.782638888888889,0.600641025641026,0.831678526411067,0.276022373470269,0.65570638511815,0,0,0,0.858817530305246,0.204075574026092,0.767650158914059,0.0832017568125428,0.400223857412191,0.516004102633942,0.111741448944763,Not_cell_,Cell_0001.tif
0.0144444444444444,0.353333333333333,0,0.39,0.862069013271875,0.190733844909412,0.791880601037666,0.00333333333333333,0,0.344444444444444,0.652222222222222,196,689,15,0,0,0.111111111111111,0.658888888888889,0.23,128,0.561455003626408,0.932107365597541,5.828125,211.859375,14.3747116650353,11.895178380914,69.3307544171859,41.541,2.98076923076923,2.99333333333333,0.730448717948718,0.688,0.841199417896158,0.291565602788179,0.63322440087146,0,0,0,0.858817530305246,0.204075574026092,0.767650158914059,0.0832017568125428,0.400223857412191,0.516004102633942,0.111741448944763,Not_cell_,Cell_0002.tif
0.0144444444444444,0.353333333333333,0,0.39,0.862069013271875,0.190733844909412,0.791880601037666,0.00333333333333333,0,0.344444444444444,0.652222222222222,196,689,15,0,0,0.111111111111111,0.658888888888889,0.23,180,0.819426487559977,0.563623549550181,5.07222222222222,236.688888888889,21.8546618065612,12.5267488333239,-86.4648764570837,63.35,2.81159420289855,2.88,0.779951690821256,0.7702,0.856708043416383,0.231810164037838,0.705137254901961,0,0,0,0.858817530305246,0.204075574026092,0.767650158914059,0.0832017568125428,0.400223857412191,0.516004102633942,0.111741448944763,Not_cell_,Cell_0003.tif
0.04,0.131111111111111,0,0.611111111111111,0.871230029817908,0.172164131038523,0.82697958978988,0,0,0.147777777777778,0.852222222222222,318,582,0,0,0,0,0.584444444444444,0.415555555555556,46,0.983959706211415,0.316548988465565,10.2391304347826,336.173913043478,20.1347908547478,3.59186252223002,53.0843621594498,42.733,3.22857142857143,4.13725490196078,0.806507936507936,0.756699346405229,0.874449178031179,0.217544575035007,0.764755313890262,0,0,0,0.858817530305246,0.204075574026092,0.767650158914059,0.0832017568125428,0.400223857412191,0.516004102633942,0.111741448944763,Not_cell_,Cell_0004.tif
0,0.255555555555556,0.0422222222222222,0.561111111111111,0.873843900839884,0.158526162228373,0.822645595551654,0,0,0.227777777777778,0.772222222222222,384,516,0,0,0,0.00888888888888889,0.61,0.381111111111111,217,0.535815434332801,0.838628222985824,18.2488479262673,373.023041474654,18.2949499745056,15.4470690580081,74.723674198915,57.023,2.60661764705882,2.93703703703704,0.731678921568627,0.711296296296296,0.826287922756397,0.2541940376898,0.640740740740741,0,0,0,0.858817530305246,0.204075574026092,0.767650158914059,0.0832017568125428,0.400223857412191,0.516004102633942,0.111741448944763,Malignant,Cell_0005.tif
0.0122222222222222,0.225555555555556,0.262222222222222,0.465555555555556,0.87209556250493,0.193258213212899,0.788184656933075,0,0,0.201111111111111,0.798888888888889,130,770,0,0,0,0.0211111111111111,0.79,0.188888888888889,24,0.592764992311792,1.02911597985719,16.375,449.208333333333,6.83660397290626,5.50603320669227,-50.0657430457795,17.119,5.5,8.625,0.65,0.618055555555556,0.846554053772621,0.219691064574034,0.676797385620915,0,0,0,0.858817530305246,0.204075574026092,0.767650158914059,0.0832017568125428,0.400223857412191,0.516004102633942,0.111741448944763,Not_cell_,Cell_0006.tif
0.0122222222222222,0.225555555555556,0.262222222222222,0.465555555555556,0.87209556250493,0.193258213212899,0.788184656933075,0,0,0.201111111111111,0.798888888888889,130,770,0,0,0,0.0211111111111111,0.79,0.188888888888889,111,0.775740077953734,0.7133057486713,22.027027027027,443.099099099099,15.9938039814389,10.0929309209483,-59.9699828097522,44.221,4.37278106508876,5.6969696969697,0.645463510848126,0.548686868686869,0.829115856603942,0.242259038931783,0.650960281548517,0,0,0,0.858817530305246,0.204075574026092,0.767650158914059,0.0832017568125428,0.400223857412191,0.516004102633942,0.111741448944763,Malignant,Cell_0007.tif
0.02,0.255555555555556,0.0488888888888889,0.546666666666667,0.884818474043924,0.188588326535715,0.812835820895523,0,0,0.225555555555556,0.774444444444444,225,675,0,0,0,0.0188888888888889,0.668888888888889,0.312222222222222,149,0.756238184242373,0.792857403094092,24.0268456375839,116.872483221477,17.5609458308243,11.490064035475,19.3071241526531,48.596,3.72727272727273,2.65865384615385,0.656902356902357,0.719791666666666,0.825437291761203,0.242637465301048,0.663314898609016,0,0,0,0.858817530305246,0.204075574026092,0.767650158914059,0.0832017568125428,0.400223857412191,0.516004102633942,0.111741448944763,Malignant,Cell_0008.tif
0.104444444444444,0.155555555555556,0,0.51,0.867810117585148,0.195881002515579,0.815531475748194,0.00444444444444444,0.00777777777777778,0.275555555555556,0.712222222222222,272,624,4,0,0,0.0622222222222222,0.565555555555556,0.372222222222222,27,0.843218453360558,1.17928699826655,19.2962962962963,193.185185185185,8.25437326002992,4.43731214742723,-56.6913226646523,16.962,2.73333333333333,4.64285714285714,0.601111111111111,0.414285714285714,0.772555991166675,0.340234693586025,0.533146591970121,0,0,0,0.858817530305246,0.204075574026092,0.767650158914059,0.0832017568125428,0.400223857412191,0.516004102633942,0.111741448944763,lymphocyt,Cell_0009.tif
0.0144444444444444,0.353333333333333,0,0.39,0.862069013271875,0.190733844909412,0.791880601037666,0.00333333333333333,0,0.344444444444444,0.652222222222222,196,689,15,0,0,0.111111111111111,0.658888888888889,0.23,95,0.920042589622715,0.678212856906004,24.2,225.705263157895,18.6520836223761,7.30822895943838,6.22227749624756,41.955,2.52941176470588,2.075,0.63202614379085,0.682638888888889,0.79350714002803,0.350145523921591,0.508852364475202,0,0,0,0.858817530305246,0.204075574026092,0.767650158914059,0.0832017568125428,0.400223857412191,0.516004102633942,0.111741448944763,lymphocyt,Cell_0010.tif
